"","mzmed","rtmed","FC","logFC","p.val.adj.DISEASE.CTR","threshold","FC.1","logFC.1","p.val.adj.TREATMENT.DISEASE","threshold.1","FC.combi","CTR","DISEASE","TREATMENT"
"M654T400",654.418246707182,400.072,-12.4450393441448,-3.63749888619569,0.999999999953486,"FALSE",135.306296355634,7.08008516515491,5.71589066346361e-06,"TRUE",1683.89218165638,33692.1748308454,2707.27748616536,366311.689860026
"M679T405",679.41157697629,405.056,-12.4749642397547,-3.64096377488256,0.999999999953486,"FALSE",126.952920582679,6.98814977469067,1.39236547291506e-05,"TRUE",1583.73314440134,13998.7950047084,1122.15111287435,142460.361114502
"M348T469",347.729264957212,468.627,-13.4808684506644,-3.75284153421938,0.999999999953486,"FALSE",117.228218212024,6.87317607501642,8.8646524307825e-06,"TRUE",1580.33818842208,3768.71023123605,279.559899648031,32772.3089192708
"M463T537",463.271175502341,536.5015,-13.3177204687807,-3.73527525914169,0.999999999953486,"FALSE",114.768527316626,6.84258325940703,8.83488340373927e-05,"TRUE",1528.45516541645,7344.50458853585,551.483612060547,63292.9619954427
"M565T456",565.32048563673,456.221,-14.149697519897,-3.8226993075764,0.999999999953486,"FALSE",105.985022091271,6.72771658587031,5.71900869607339e-05,"TRUE",1499.65600423108,12387.613394601,875.468424479167,92786.5403086344
"M383T313",383.029585154341,313.083,-13.883087616597,-3.79525655572672,0.999999999953486,"FALSE",107.004592454496,6.74152890573897,0.000595767817066494,"TRUE",1485.55413242402,4228.61721256801,304.58766301473,32592.2787475586
"M474T460",474.328378342841,459.745,-12.6138942097539,-3.65694183366067,0.999999999953486,"FALSE",117.201121694667,6.87284256717643,5.94569581613404e-05,"TRUE",1478.36255032102,42542.5429164342,3372.67319742839,395281.081848145
"M429T437",429.289879006637,437.449,-13.5565922222299,-3.76092266259734,0.999999999953486,"FALSE",108.947548844347,6.76748992812955,2.71813043618771e-05,"TRUE",1476.95749329429,30648.7570452009,2260.80098470052,246308.725708008
"M629T418",629.357349437513,417.7055,-6.48636891978219,-2.69741108108698,0.999999999953486,"FALSE",225.057810690438,7.8141518244774,0.00678393753775908,"TRUE",1459.80798841668,3227.02417755127,497.508577982585,111968.191360474
"M380T472_2",380.231994306516,472.479,-14.214226620947,-3.82926370072818,0.999999999953486,"FALSE",101.112503228805,6.6598175968165,3.74116833672229e-05,"TRUE",1437.23603510546,9195.56773594448,646.927052815755,65412.4137166341
"M541T407",541.305038221704,407.063,-6.54163711128366,-2.70965173003022,0.999999999953486,"FALSE",210.611477131548,7.71844024698166,0.00883793023541447,"TRUE",1377.743854866,7027.41542053223,1074.25944010417,226251.367502848
"M340T406_2",340.210415862757,405.634,-11.4329378847661,-3.51512427071998,0.999999999953486,"FALSE",120.184379250329,6.90910558630171,7.87865243664524e-06,"TRUE",1374.06054268819,79799.8069545201,6979.8163655599,838864.897176107
"M785T415",785.494577916353,415.115,-11.6377683111086,-3.54074252468162,0.999999999953486,"FALSE",116.806878670619,6.86798142573735,1.89409776588882e-05,"TRUE",1359.37139111244,19402.3146275112,1667.18516031901,194738.694742839
"M711T541_1",710.910840874327,540.946,-12.1729088927864,-3.60560205700087,0.999999999953486,"FALSE",109.721639165918,6.77770427010742,0.000809507713390285,"TRUE",1335.6315171339,2301.09255000523,189.033908843994,20741.1103363037
"M562T313",562.060299385323,312.7675,-11.2420508942028,-3.49083334619266,0.999999999953486,"FALSE",115.627504629025,6.85334080622951,0.000157324858763938,"TRUE",1299.89029180917,2343.03754970006,208.417269388835,24098.7687810262
"M731T422",731.386703922543,421.925,-5.94710601126966,-2.57218779297826,0.999999999953486,"FALSE",218.382442364655,7.7707130600816,0.0163858949393179,"TRUE",1298.74353574259,2225.24519130162,374.172780354818,81712.7656402588
"M613T394",613.341395070807,394.212,-11.0685864114943,-3.46839907966737,0.999999999953486,"FALSE",116.181999152015,6.86024274951676,1.08091546355965e-05,"TRUE",1285.97049707424,57810.8712506975,5222.96787516276,606814.849243164
"M745T410",745.420322301689,410.424,-10.8766623000526,-3.44316400240256,0.999999999953486,"FALSE",117.877649326406,6.88114638593164,0.000119468467716402,"TRUE",1282.11538444733,5607.5144544329,515.554707845052,60772.3770599365
"M319T400_1",318.698962960533,400.072,-10.5794351571516,-3.4031906979792,0.999999999953486,"FALSE",119.81905012577,6.90471349136592,4.19198113107725e-06,"TRUE",1267.61787139708,24945.3544834682,2357.90986124674,282522.519856771
"M349T406",348.723634048897,405.6265,-10.7938326958082,-3.43213532573945,0.999999999953486,"FALSE",116.147100928135,6.85980933420297,3.56513075262521e-06,"TRUE",1253.67237552144,206062.508231027,19090.7635904948,2217336.84554036
"M381T485_1",380.737885769392,484.8135,-12.742120332299,-3.67153346183521,0.999999999953486,"FALSE",98.3692662642243,6.62013573632584,4.14640475477415e-05,"TRUE",1253.43302773871,4781.40285055978,375.243893941243,36912.4665171305
"M630T418",630.360223617594,417.738,-6.29249001413729,-2.65363102190417,0.999999999953486,"FALSE",196.325225585501,7.61710174459088,0.00610343298002859,"TRUE",1235.37452152001,1287.73495919364,204.646325429281,40177.2360051473
"M341T406_1",340.711984109454,405.605,-11.028934274308,-3.46322148495958,0.999999999953486,"FALSE",111.802032829297,6.80480260985282,8.68908469543833e-06,"TRUE",1233.05727180834,26302.9003470285,2384.89954630534,266636.617370605
